,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,HKTN,HKXH,A00,B00,C00,D01,A01
0,8.20,7,8,8.50,7.75,,,,8.20,N1,02,24.30,,24.70,24.50,,23.40,24.40
1,8.80,7,,,,7.75,8,9,9.80,N1,02,,24.80,,,22.80,25.60,
2,7.80,6.50,,,,7.75,7.25,9.25,9.20,N6,02,,24.30,,,21.50,23.50,
3,6.60,7,,,,6,7.50,9.25,9.60,N1,02,,22.80,,,20.50,23.20,
4,8,6.75,5.75,8,7.25,,,,8.60,N1,02,21.00,,21.80,23.30,,23.40,22.40
5,7.80,6.50,,,,6.75,6.50,8.25,8.80,N1,02,,21.50,,,19.80,23.10,
6,8.20,6,5.50,7.25,4.75,,,,5,N1,02,17.50,,21.00,20.20,,19.20,18.70
7,7.60,5.50,6.25,7,5.25,,,,9,N1,02,18.50,,20.90,19.90,,22.10,22.90
8,7.60,7.25,6.50,8.25,5.75,,,,9,N1,02,20.50,,22.40,21.60,,23.90,23.10
9,7.40,7.50,,,,7.25,7,8,9.20,N1,02,,22.30,,,21.80,24.10,
10,7.60,7.50,5.75,6.25,5.75,,,,8.80,N1,02,17.80,,19.60,19.60,,23.90,22.20
11,8.40,5.25,8.25,4.75,4.75,,,,9.40,N1,02,17.80,,21.40,17.90,,23.10,26.10
12,8.40,8,5,8,7.50,,,,7.60,N1,02,20.50,,21.40,23.90,,24.00,21.00
13,7,7.75,6.50,6.25,6,,,,8.60,N1,02,18.80,,19.80,19.30,,23.40,22.10
14,8.40,5.75,7.25,7.25,6,,,,9.20,N1,02,20.50,,22.90,21.70,,23.40,24.90
15,8,7.75,6.25,8.25,7.75,,,,9.20,N1,02,22.30,,22.50,24.00,,25.00,23.50
16,7.20,7.50,6.50,7,5.25,,,,8.20,N1,02,18.80,,20.70,19.50,,22.90,21.90
17,8.80,8,,,,5.75,5.50,9,9.40,N1,02,,20.30,,,19.30,26.20,
18,7.80,7,7.75,8.25,6.75,,,,9.60,N1,02,22.80,,23.80,22.80,,24.40,25.20
19,8.40,6.50,5.75,6.50,4.50,,,,8.80,N1,02,16.80,,20.70,19.40,,23.70,23.00
20,8.40,8,,,,7.50,9,10,9.20,N1,02,,26.50,,,24.50,25.60,
21,7.40,7.25,,,,7.75,7.25,9.50,9.80,N1,02,,24.50,,,22.30,24.50,
22,7.20,7.75,5.50,7.50,3.50,,,,7.60,N1,02,16.50,,20.20,18.20,,22.50,20.30
23,5.60,6.75,,,,6.50,7.75,10,9,N1,02,,24.30,,,21.00,21.40,
24,7.80,7.50,6,7.25,4.25,,,,9.40,N1,02,17.50,,21.10,19.30,,24.70,23.20
25,7.80,4.25,5.25,4.25,3.75,,,,8.60,N1,02,13.30,,17.30,15.80,,20.70,21.70
26,8.40,6.75,7.75,6.25,5.75,,,,9.80,N1,02,19.80,,22.40,20.40,,25.00,26.00
27,4.60,7.50,,,,2.75,6.50,5.75,6,N1,02,,15.00,,,16.80,18.10,
28,7.60,6.75,8,8.25,4.25,,,,,,02,20.50,,23.90,20.10,,,
29,8,7.25,,,,4.75,6.50,8,8,N1,02,,19.30,,,18.50,23.30,
30,8.60,6.75,6.50,7,6,,,,8.60,N1,02,19.50,,22.10,21.60,,24.00,23.70
31,7.60,3.75,8.25,7.25,4.50,,,,5.80,N1,02,20.00,,23.10,19.40,,17.20,21.70
32,7.80,7,3,4.50,4.25,,,,9.40,N1,02,11.80,,15.30,16.60,,24.20,20.20
33,7.40,7.50,4,6.50,7.25,,,,7.40,N1,02,17.80,,17.90,21.20,,22.30,18.80
34,8.40,5.25,6.75,6.50,5.25,,,,9.80,N1,02,18.50,,21.70,20.20,,23.50,25.00
35,8,7,,,,4.25,5.75,8.25,9.20,N1,02,,18.30,,,17.00,24.20,
36,8.60,5.75,6.75,7.75,4,,,,6,N1,02,18.50,,23.10,20.40,,20.40,21.40
37,8.20,7.25,7.75,6.50,5.75,,,,8.80,N1,02,20.00,,22.50,20.50,,24.30,24.80
38,6.60,6.50,,,,3.75,5.50,8.50,8,N6,02,,17.80,,,15.80,21.10,
39,8,7.50,7.50,7.25,7.25,,,,9.40,N1,02,22.00,,22.80,22.50,,24.90,24.90
40,8.60,5,6.75,5.25,4.50,,,,8.80,N1,02,16.50,,20.60,18.40,,22.40,24.20
41,8.80,5.50,7,7.25,5.50,,,,8.20,N1,02,19.80,,23.10,21.60,,22.50,24.00
42,8,6.75,7,8,4,,,,6.20,N1,02,19.00,,23.00,20.00,,21.00,21.20
43,8.40,5.75,6.50,7.75,6.25,,,,9.80,N1,02,20.50,,22.70,22.40,,24.00,24.70
44,7.60,5.75,7,6.50,5,,,,9,N1,02,18.50,,21.10,19.10,,22.40,23.60
45,8.40,5.25,6.25,8,5.25,,,,9.40,N1,02,19.50,,22.70,21.70,,23.10,24.10
46,7.80,3.75,7.25,7,3.25,,,,9.60,N1,02,17.50,,22.10,18.10,,21.20,24.70
47,8.20,5,8.25,7.75,5,,,,8.40,N1,02,21.00,,24.20,21.00,,21.60,24.90
48,8.80,6.75,7.75,9,4.75,,,,7.20,N1,02,21.50,,25.60,22.60,,22.80,23.80
49,8.60,7.50,8.50,8,8.75,,,,8.80,N1,02,25.30,,25.10,25.40,,24.90,25.90
50,7.20,5.50,6.50,6.25,4.25,,,,8.80,N1,02,17.00,,20.00,17.70,,21.50,22.50
51,9.80,6.25,8,9,5,,,,8.80,N1,02,22.00,,26.80,23.80,,24.90,26.60
52,7.40,7.50,5.25,6.50,5.25,,,,,,02,17.00,,19.20,19.20,,,
53,8,5.25,7.50,6.75,6,,,,9.40,N1,02,20.30,,22.30,20.80,,22.70,24.90
54,7.20,7.25,,,,5.50,7.75,8.25,8.60,N1,02,,21.50,,,20.50,23.00,
55,6,8,,,,3.75,7.25,8.50,9.60,N1,02,,19.50,,,19.00,23.60,
56,8.40,7.25,5.75,8.50,7.25,,,,7.20,N1,02,21.50,,22.70,24.20,,22.90,21.40
57,7.60,7.75,,,,7,6.50,8,9,N1,02,,21.50,,,21.30,24.40,
58,8.60,7.25,6.50,8.25,9,,,,9,N1,02,23.80,,23.40,25.90,,24.90,24.10
59,7.80,7.25,,,,3.50,7.25,8,8.40,N1,02,,18.80,,,18.00,23.50,
60,7.60,7.75,5.75,6.50,6,,,,9.60,N1,02,18.30,,19.90,20.10,,25.00,23.00
61,6.20,8,,,,9,9,8.75,9,N1,02,,26.80,,,26.00,23.20,
62,6.80,6.25,,,,4.75,6.75,6.75,9.40,N1,02,,18.30,,,17.80,22.50,
63,7.20,7,,,,7.75,7.25,6.75,9.60,N1,02,,21.80,,,22.00,23.80,
64,9,7.50,6.25,6.50,5.75,,,,8.80,N1,02,18.50,,21.80,21.30,,25.30,24.10
65,7.20,7,7.75,6.75,4.25,,,,9.60,N1,02,18.80,,21.70,18.20,,23.80,24.50
66,8.40,6.75,,,,5.25,6.50,8.75,9,N1,02,,20.50,,,18.50,24.20,
67,8,6.50,6.75,8.25,6.75,,,,9,N1,02,21.80,,23.00,23.00,,23.50,23.80
68,8.80,8,7.75,7.75,5.75,,,,9,N1,02,21.30,,24.30,22.30,,25.80,25.60
69,6.80,7,,,,6.25,7.50,8.50,9.60,N1,02,,22.30,,,20.80,23.40,
70,5.40,4.50,,,,5,6.75,9.75,8.40,N1,02,,21.50,,,16.30,18.30,
